Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
820	0.243902	180	0.500000	1.997076	820	0.243902	0.290000	0.298422	
831	0.237064	169	0.526627	1.997076	831	0.237064	0.286000	0.298292	
813	0.308733	187	0.427807	1.997076	813	0.308733	0.331000	0.298632	
828	0.219807	172	0.523256	1.997076	828	0.219807	0.272000	0.298358	
823	0.239368	177	0.480226	1.997076	823	0.239368	0.282000	0.298191	
828	0.229469	172	0.540698	1.997076	828	0.229469	0.283000	0.298037	
823	0.269745	177	0.480226	1.997076	823	0.269745	0.307000	0.298127	
816	0.279412	184	0.385870	1.997076	816	0.279412	0.299000	0.298136	
826	0.240920	174	0.517241	1.997076	826	0.240920	0.289000	0.298046	
838	0.270883	162	0.493827	1.997076	838	0.270883	0.307000	0.298133	
821	0.249695	179	0.446927	1.997076	821	0.249695	0.285000	0.298007	
833	0.262905	167	0.520958	1.997076	833	0.262905	0.306000	0.298083	
835	0.281437	165	0.509091	1.997076	835	0.281437	0.319000	0.298280	
836	0.230861	164	0.500000	1.997076	836	0.230861	0.275000	0.298063	
831	0.223827	169	0.461538	1.997076	831	0.223827	0.264000	0.297747	
793	0.252207	207	0.492754	1.997076	793	0.252207	0.302000	0.297786	
817	0.291310	183	0.535519	1.997076	817	0.291310	0.336000	0.298134	
843	0.255042	157	0.471338	1.997076	843	0.255042	0.289000	0.298051	
824	0.265777	176	0.579545	1.997076	824	0.265777	0.321000	0.298256	
799	0.282854	201	0.522388	1.997076	799	0.282854	0.331000	0.298546	
810	0.262963	190	0.442105	1.997076	810	0.262963	0.297000	0.298532	
817	0.285190	183	0.562842	1.997076	817	0.285190	0.336000	0.298858	
813	0.274293	187	0.491979	1.997076	813	0.274293	0.315000	0.298997	
802	0.261845	198	0.515152	1.997076	802	0.261845	0.312000	0.299109	
826	0.272397	174	0.448276	1.997076	826	0.272397	0.303000	0.299142	
832	0.254808	168	0.464286	1.997076	832	0.254808	0.290000	0.299065	
831	0.233454	169	0.615385	1.997076	831	0.233454	0.298000	0.299056	
840	0.255952	160	0.512500	1.997076	840	0.255952	0.297000	0.299039	
835	0.240719	165	0.375758	1.997076	835	0.240719	0.263000	0.298743	
840	0.253571	160	0.287500	1.997076	840	0.253571	0.259000	0.298420	
834	0.257794	166	0.566265	1.997076	834	0.257794	0.309000	0.298506	
822	0.242092	178	0.483146	1.997076	822	0.242092	0.285000	0.298398	
816	0.231618	184	0.527174	1.997076	816	0.231618	0.286000	0.298299	
843	0.284698	157	0.496815	1.997076	843	0.284698	0.318000	0.298454	
844	0.252370	156	0.564103	1.997076	844	0.252370	0.301000	0.298474	
842	0.296912	158	0.512658	1.997076	842	0.296912	0.331000	0.298726	
825	0.284848	175	0.542857	1.997076	825	0.284848	0.330000	0.298967	
834	0.270983	166	0.584337	1.997076	834	0.270983	0.323000	0.299150	
838	0.264916	162	0.432099	1.997076	838	0.264916	0.292000	0.299096	
850	0.256471	150	0.513333	1.997076	850	0.256471	0.295000	0.299065	
814	0.261671	186	0.478495	1.997076	814	0.261671	0.302000	0.299087	
835	0.285030	165	0.503030	1.997076	835	0.285030	0.321000	0.299250	
838	0.242243	162	0.518519	1.997076	838	0.242243	0.287000	0.299160	
835	0.220359	165	0.351515	1.997076	835	0.220359	0.242000	0.298742	
817	0.252142	183	0.546448	1.997076	817	0.252142	0.306000	0.298795	
812	0.286946	188	0.484043	1.997076	812	0.286946	0.324000	0.298976	
814	0.242015	186	0.559140	1.997076	814	0.242015	0.301000	0.298991	
835	0.262275	165	0.400000	1.997076	835	0.262275	0.285000	0.298891	
825	0.233939	175	0.514286	1.997076	825	0.233939	0.283000	0.298780	
830	0.244578	170	0.588235	1.997076	830	0.244578	0.303000	0.298809	
799	0.251564	201	0.442786	1.997076	799	0.251564	0.290000	0.298748	
836	0.208134	164	0.493902	1.997076	836	0.208134	0.255000	0.298446	
834	0.268585	166	0.481928	1.997076	834	0.268585	0.304000	0.298484	
840	0.223810	160	0.525000	1.997076	840	0.223810	0.272000	0.298304	
845	0.247337	155	0.380645	1.997076	845	0.247337	0.268000	0.298099	
847	0.284534	153	0.470588	1.997076	847	0.284534	0.313000	0.298199	
830	0.259036	170	0.364706	1.997076	830	0.259036	0.277000	0.298058	
844	0.266588	156	0.403846	1.997076	844	0.266588	0.288000	0.297991	
826	0.261501	174	0.431034	1.997076	826	0.261501	0.291000	0.297945	
829	0.235223	171	0.491228	1.997076	829	0.235223	0.279000	0.297822	
841	0.242568	159	0.471698	1.997076	841	0.242568	0.279000	0.297699	
816	0.267157	184	0.559783	1.997076	816	0.267157	0.321000	0.297850	
826	0.237288	174	0.396552	1.997076	826	0.237288	0.265000	0.297639	
829	0.306393	171	0.450292	1.997076	829	0.306393	0.331000	0.297852	
833	0.292917	167	0.508982	1.997076	833	0.292917	0.329000	0.298049	
833	0.272509	167	0.550898	1.997076	833	0.272509	0.319000	0.298181	
820	0.267073	180	0.494444	1.997076	820	0.267073	0.308000	0.298242	
824	0.250000	176	0.482955	1.997076	824	0.250000	0.291000	0.298197	
837	0.272401	163	0.411043	1.997076	837	0.272401	0.295000	0.298177	
